Name,Card Type,Attribute
"'A' Cell Breeding Device",Spell Card,Continuous Spell Card
A.I. Contact,Spell Card,Normal Spell Card
A.I. Shadow,Trap Card,Continuous Trap Card
A.I. Challenge You,Trap Card,Continuous Trap Card
A.I. Love Fusion,Spell Card,Normal Spell Card
A.I. Meet You,Spell Card,Normal Spell Card
A-to-Z-Dragon Buster Cannon,Monster Card,LIGHT
A.I.'s Ritual,Spell Card,Ritual Spell Card
The A. Forces,Spell Card,Continuous Spell Card
A-Team: Trap Disposal Unit,Monster Card,FIRE
A-Assault Core,Monster Card,LIGHT
8-Claws Scorpion,Monster Card,DARK
7,Spell Card,Continuous Spell Card
7 Completed,Spell Card,Equip Spell Card
7 Colored Fish,Monster Card,WATER
4-Starred Ladybug of Doom,Monster Card,WIND
Ally of Justice Quarantine,Monster Card,DARK
Ally of Justice Omni-Weapon,Monster Card,DARK
Ally of Justice Light Gazer,Monster Card,DARK
Ally of Justice Nullfier,Monster Card,DARK
Ally of Justice Garadholg,Monster Card,DARK
Ally of Justice Field Marshal,Monster Card,DARK
Ally of Justice Enemy Catcher,Monster Card,DARK
Ally of Justice Decisive Armor,Monster Card,DARK
Ally of Justice Cyclone Creator,Monster Card,DARK
Ally of Justice Cycle Reader,Monster Card,DARK
Ally of Justice Core Destroyer,Monster Card,DARK
Ally of Justice Clausolas,Monster Card,DARK
Ally of Justice Catastor,Monster Card,DARK
Ally of Justice Cosmic Gateway,Monster Card,DARK
Ally Mind,Monster Card,DARK
Allvain the Essence of Vanity,Monster Card,DARK
Amazoness Pet Liger,Monster Card,EARTH
Ancient Lamp,Monster Card,WIND
Anti-Magic Arrows,Spell Card,Quick-Play Spell Card
Anti-Fusion Device,Trap Card,Normal Trap Card
Anti-Aircraft Flower,Monster Card,EARTH
Anti Raigeki,Trap Card,Normal Trap Card
Anthrosaurus,Monster Card,EARTH
Anteatereatingant,Monster Card,EARTH
Ansatsu,Monster Card,EARTH
Ante,Spell Card,Normal Spell Card
Annihilator Archfiend,Monster Card,DARK
Animadorned Archosaur,Monster Card,LIGHT
Angraecum Umbrella,Monster Card,WATER
Angel Trumpeter,Monster Card,EARTH
Angmarl the Fiendish Monarch,Monster Card,DARK
Angel Statue - Azurune,Trap Card,Continuous Trap Card
Angel of Zera,Monster Card,LIGHT
Angel O7,Monster Card,LIGHT
Angel O1,Monster Card,LIGHT
Anesthrokket Dragon,Monster Card,DARK
Andro Sphinx,Monster Card,LIGHT
Armed Dragon LV7,Monster Card,WIND
Ascension Sky Dragon,Monster Card,LIGHT
Asceticism of the Six Samurai,Spell Card,Quick-Play Spell Card
Ascending Soul,Spell Card,Continuous Spell Card
The Ascended of Thunder,Monster Card,LIGHT
"Ascator, Dawnwalker",Monster Card,EARTH
"Artorigus, King of the Noble Knights",Monster Card,LIGHT
Artillery Catapult Turtle,Monster Card,WATER
Artifacts Unleashed,Spell Card,Quick-Play Spell Card
Artifact Scythe,Monster Card,LIGHT
Artifact Sanctum,Trap Card,Normal Trap Card
Artifact Vajra,Monster Card,LIGHT
Artifact Moralltach,Monster Card,LIGHT
Artifact Mjollnir,Monster Card,LIGHT
Artifact Lancea,Monster Card,LIGHT
Artifact Ignition,Spell Card,Quick-Play Spell Card
Artifact Labrys,Monster Card,LIGHT
Artifact Failnaught,Monster Card,LIGHT
Artifact Dagda,Monster Card,LIGHT
Bad Reaction to Simochi,Trap Card,Continuous Trap Card
Artifact Durendal,Monster Card,LIGHT
Assault on GHQ,Trap Card,Normal Trap Card
Battlin' Boxer Counterpunch,Monster Card,FIRE
Battlin' Boxer Cheat Commissioner,Monster Card,FIRE
Battlin' Boxer Big Bandage,Monster Card,FIRE
Battlewasp - Twinbow the Attacker,Monster Card,WIND
Battlewasp - Nest,Trap Card,Continuous Trap Card
Battlewasp - Sting the Poison,Monster Card,WIND
Battlewasp - Pin the Bullseye,Monster Card,WIND
Battlewasp - Hama the Conquering Bow,Monster Card,WIND
Battlewasp - Halberd the Charge,Monster Card,WIND
Battlewasp - Dart the Hunter,Monster Card,WIND
Battlewasp - Ballista the Armageddon,Monster Card,WIND
Battlewasp - Azusa the Ghost Bow,Monster Card,WIND
Battlewasp - Arbalest the Rapidfire,Monster Card,WIND
Battlestorm,Monster Card,DARK
Battleguard Rage,Trap Card,Continuous Trap Card
Battleguard King,Monster Card,EARTH
Battleguard Howling,Trap Card,Normal Trap Card
Beginning Knight,Monster Card,LIGHT
Blackwing - Kogarashi the Wanderer,Monster Card,DARK
Blackwing - Kochi the Daybreak,Monster Card,DARK
Blackwing - Kalut the Moon Shadow,Monster Card,DARK
Blackwing - Jin the Rain Shadow,Monster Card,DARK
Blackwing - Hillen the Tengu-wind,Monster Card,DARK
Blackwing - Hurricane the Tornado,Monster Card,DARK
Blackwing - Jetstream the Blue Sky,Monster Card,DARK
Blackwing - Gram the Shining Star,Monster Card,DARK
Blackwing - Gust the Backblast,Monster Card,DARK
Blackwing - Harmattan the Dust,Monster Card,DARK
Blackwing - Gofu the Vague Shadow,Monster Card,DARK
Blackwing - Gladius the Midnight Sun,Monster Card,DARK
Blackwing - Ghibli the Searing Wind,Monster Card,DARK
Blackwing - Gale the Whirlwind,Monster Card,DARK
Blackwing - Elphin the Raven,Monster Card,DARK
Blackwing - Decay the Ill Wind,Monster Card,DARK
Blackwing - Fane the Steel Chain,Monster Card,DARK
Blackwing - Etesian of Two Swords,Monster Card,DARK
Blackwing - Damascus the Polar Night,Monster Card,DARK
Blackwing - Calima the Haze,Monster Card,DARK
Blackwing - Kris the Crack of Dawn,Monster Card,DARK
Blackwing - Brisote the Tailwind,Monster Card,DARK
Blackwing - Oroshi the Squall,Monster Card,DARK
Blackwing - Nothung the Starlight,Monster Card,DARK
Blackwing - Steam the Cloak,Monster Card,DARK
Blackwing - Sirocco the Dawn,Monster Card,DARK
Blackwing - Simoon the Poison Wind,Monster Card,DARK
Blackwing Full Armor Master,Monster Card,DARK
Blackwing Armor Master,Monster Card,DARK
Blackwing Armed Wing,Monster Card,DARK
Blaze Accelerator Reload,Trap Card,Continuous Trap Card
Blaze Accelerator,Spell Card,Continuous Spell Card
Blasting the Ruins,Trap Card,Normal Trap Card
"Blaster, Dragon Ruler of Infernos",Monster Card,FIRE
Blind Obliteration,Trap Card,Normal Trap Card
Blind Destruction,Trap Card,Continuous Trap Card
Blessings of the Nile,Spell Card,Continuous Spell Card
Blasting Fuse,Trap Card,Normal Trap Card
Blood Sucker,Monster Card,DARK
Blood Mefist,Monster Card,DARK
Blockout Curtain,Spell Card,Continuous Spell Card
Blockman,Monster Card,EARTH
Blocker,Monster Card,DARK
Blue Dragon Summoner,Monster Card,WIND
Blue Dragon Ninja,Monster Card,WATER
Blowback Dragon,Monster Card,DARK
Blue-Eyes Spirit Dragon,Monster Card,LIGHT
Blue-Eyes Toon Dragon,Monster Card,LIGHT
Blue-Eyes Solid Dragon,Monster Card,LIGHT
Blue-Eyes Shining Dragon,Monster Card,LIGHT
Boar Soldier,Monster Card,EARTH
BM-4 Blast Spider,Monster Card,DARK
Blustering Winds,Spell Card,Normal Spell Card
Bone Temple Block,Trap Card,Normal Trap Card
Bonze Alone,Monster Card,EARTH
Booby Trap E,Trap Card,Normal Trap Card
Boo-Boo Game,Trap Card,Normal Trap Card
Book of Secret Arts,Spell Card,Equip Spell Card
Book of Moon,Spell Card,Quick-Play Spell Card
Book of Lunar Eclipse,Spell Card,Quick-Play Spell Card
Book of Life,Spell Card,Normal Spell Card
Boot-Up Order - Gear Force,Trap Card,Normal Trap Card
Borreload eXcharge Dragon,Monster Card,DARK
Boot-Up Order - Gear Charge,Spell Card,Continuous Spell Card
Borreload Dragon,Monster Card,DARK
Borrelguard Dragon,Monster Card,DARK
Borrelcode Dragon,Monster Card,DARK
Borrel Supplier,Spell Card,Continuous Spell Card
Borrel Regenerator,Spell Card,Equip Spell Card
Brain Research Lab,Spell Card,Field Spell Card
Brain Hazard,Trap Card,Continuous Trap Card
Boycotton,Monster Card,EARTH
BOXer,Monster Card,EARTH
Brain Golem,Monster Card,DARK
Brain Crusher,Monster Card,DARK
Brain Control,Spell Card,Normal Spell Card
Brain Jacker,Monster Card,DARK
Break! Draw!,Spell Card,Equip Spell Card
Break Off Trap Hole,Trap Card,Normal Trap Card
Break the Destiny,Trap Card,Normal Trap Card
Breakthrough!,Trap Card,Normal Trap Card
Breakthrough Skill,Trap Card,Normal Trap Card
Breaking of the World,Spell Card,Field Spell Card
Breaker the Magical Warrior,Monster Card,DARK
Breaker the Dark Magical Warrior,Monster Card,DARK
Broken Line,Trap Card,Counter Trap Card
Broken Blocker,Trap Card,Normal Trap Card
Broken Bamboo Sword,Spell Card,Equip Spell Card
Brohunder,Monster Card,LIGHT
"Brionac, Dragon of the Ice Barrier",Monster Card,WATER
Brinegir,Monster Card,WATER
Brilliant Spark,Trap Card,Normal Trap Card
Brigrand the Glory Dragon,Monster Card,DARK
Bright Star Dragon,Monster Card,LIGHT
Bright Future,Trap Card,Normal Trap Card
Bri Synchron,Monster Card,EARTH
Breath of Resurrection,Trap Card,Normal Trap Card
Breath of Light,Spell Card,Normal Spell Card
Brilliant Fusion,Spell Card,Continuous Spell Card
Breath of Acclamation,Spell Card,Ritual Spell Card
Branded in White,Spell Card,Normal Spell Card
Break Away,Trap Card,Normal Trap Card
Bravedrive,Monster Card,FIRE
"Bravo, Fighter Fur Hire",Monster Card,FIRE
Brave-Eyes Pendulum Dragon,Monster Card,DARK
Brave Scizzar,Monster Card,DARK
Branded Opening,Spell Card,Quick-Play Spell Card
Branded in Red,Spell Card,Quick-Play Spell Card
Brotherhood of the Fire Fist - Eagle,Monster Card,FIRE
Brotherhood of the Fire Fist - Dragon,Monster Card,FIRE
Brotherhood of the Fire Fist - Coyote,Monster Card,FIRE
Brotherhood of the Fire Fist - Caribou,Monster Card,FIRE
Brotherhood of the Fire Fist - Cardinal,Monster Card,FIRE
Brotherhood of the Fire Fist - Buffalo,Monster Card,FIRE
Brotherhood of the Fire Fist - Boar,Monster Card,FIRE
Brotherhood of the Fire Fist - Ram,Monster Card,FIRE
"Broww, Huntsman of Dark World",Monster Card,DARK
Brotherhood of the Fire Fist - Tiger King,Monster Card,FIRE
Brotherhood of the Fire Fist - Wolf,Monster Card,FIRE
Brotherhood of the Fire Fist - Swan,Monster Card,FIRE
Brotherhood of the Fire Fist - Swallow,Monster Card,FIRE
Brotherhood of the Fire Fist - Spirit,Monster Card,FIRE
Brotherhood of the Fire Fist - Snake,Monster Card,FIRE
Bubble Barrier,Spell Card,Continuous Spell Card
Bujin Hirume,Monster Card,LIGHT
Bujin Mahitotsu,Monster Card,LIGHT
Bujin Hiruko,Monster Card,LIGHT
Bujin Arasuda,Monster Card,LIGHT
Bug Signal,Spell Card,Quick-Play Spell Card
Bug Matrix,Spell Card,Field Spell Card
Bujin Mikazuchi,Monster Card,LIGHT
Bujin Regalia - The Sword,Trap Card,Normal Trap Card
Bujinki Amaterasu,Monster Card,LIGHT
Bujinki Ahashima,Monster Card,LIGHT
